Timestamp,Voltage(V),Current(A),Power_Consumption(kW),Reactive_Power(kVAR),Power_Factor,Solar_Power(kW),Wind_Power(kW),Grid_Supply(kW),Voltage_Fluctuation(%),Overload,Transformer_Fault,Temperature_C,Humidity(%),Electricity_Price(USD/kWh)
01-01-2024 0.00,232.40025002708788,5.171033517105089,1.215627403756387,0.39991035426238336,0.9074194388016451,46.56899469712028,26.370048351749706,0.0032027880732426236,0.982086271471801,0,0,17.872689960998414,64.4067955428195,0.41552806691649846
01-01-2024 0.15,229.38737542879213,22.169952260972057,5.0961026798044715,1.2472018151364235,0.8315012799466907,6.807856544227211,18.555598756278908,-0.00046925081943306176,-3.875244940794735,1,0,18.813600077756917,49.787745310201046,0.49345808096435656
01-01-2024 0.30,233.20709315825735,46.17026531854699,10.6984141943515,2.7951123639043773,0.9995177014573854,15.399814115444832,12.788243756139485,0.004136932419913683,-0.27334561074255204,0,0,16.645099228405428,48.512822716076776,0.4294141037625346
01-01-2024 0.45,237.66385547751858,47.66385594435543,11.340140635728426,1.9675533276123987,0.8959364252820956,35.864609631954444,28.944848117733674,0.0031390551916074616,2.6742155763574025,0,0,15.316887737984363,75.91197901249055,0.48702963263324406
01-01-2024 1.00,228.79647803484684,7.208437820806193,1.7154619270201976,0.6309954860539725,0.8710924041259972,27.436626185316076,14.045153748639251,0.007024115011604939,3.8277343005373186,0,0,38.84128201551024,61.24192491290318,0.2876315955577198
01-01-2024 1.15,228.87558677460157,10.481357825567267,2.416856664133934,0.9462555006373244,0.9695346944596899,46.13971806762448,25.8069807586971,0.0011241301381387818,2.1624311615873166,0,0,26.068811913933608,50.48677716734346,0.4693951318706411
01-01-2024 1.30,237.94197420761003,5.255815767162347,1.23746454701866,0.35644895770224777,0.9632658054119759,21.486842628416785,13.19046170285661,-0.0027444118191494904,-0.7912621743344139,1,0,31.341501554720995,73.7985620616487,0.25673701021450174
01-01-2024 1.45,233.8476492617167,44.11386222547858,10.33113439261394,1.4890609023816979,0.8468750840682484,10.972261345111566,7.953805577476999,-0.0022028092121220877,4.376661112957487,0,0,23.18232450940917,45.12199217417728,0.42298876254536866
01-01-2024 2.00,227.61776278747925,8.192518229909867,1.8785219134949185,0.48852706428207227,0.9678679538582249,3.663111222086022,4.053398453374009,-0.0020600596965487856,4.47462693344009,0,0,24.624301837576876,26.9707469894844,0.4338588452355634
01-01-2024 2.15,232.739334076575,9.810368505367858,2.313154469017833,0.4288560663390373,0.8573119137259544,24.387801717008706,29.532837044742458,0.001569005406284517,0.480895046347941,1,0,11.268869167362123,26.454914427272424,0.16902316450652555
01-01-2024 2.30,227.70589876055655,15.258475387615714,3.4738805569207014,0.8259205289338409,0.8131487111611005,39.73422574608385,6.205145446209696,0.0017861935742075933,-0.38430195900595404,0,0,38.706076644531315,33.920551715647925,0.19427054878151295
01-01-2024 2.45,227.65628368497076,46.19107710957356,10.561824228718226,3.1779968418776465,0.8056523825923226,6.730268090202744,18.994283900456118,-0.0037229668508370725,1.8901978674191762,0,0,12.545629053620905,52.80647434449423,0.1889603866902651
01-01-2024 3.00,231.22401449792224,35.88874391480594,8.344575339092621,1.023092286784361,0.9040842289682419,43.75410193641209,2.9793723090110253,0.0030797597396229662,-0.1940010711446049,0,0,12.778889030417053,33.96960859543437,0.4957097203195386
01-01-2024 3.15,220.49603833811528,32.751181943524266,7.209167197553783,1.1616309572665005,0.8678501263504882,38.13474539505221,5.269157550692111,-0.0032469278681615697,1.1761548786345366,0,0,27.901836408826384,30.30408595109652,0.4829288687488816
01-01-2024 3.30,221.42077415292738,40.325604470912694,8.946524273117744,2.8958360492011033,0.9522040220665242,7.277419523773242,22.733555853333936,0.0010311431425783272,3.318841002523419,0,0,15.404837494161592,57.82931475313665,0.1315318015107011
01-01-2024 3.45,227.23845493192036,36.30712500304701,8.189532559691745,0.921896817047043,0.9076666072166586,32.83393361666868,29.84988662417665,-0.0013253069965523767,-4.811626111043885,1,0,32.853305589030384,66.89544467260862,0.4214489954650041
01-01-2024 4.00,225.05283331391348,38.436346381785974,8.698987396734587,2.424266374939514,0.955751774751858,27.428592101301508,24.413415153061933,0.0021511630179227035,0.9433673254945589,0,1,20.971006347368952,74.83482673509387,0.3213435602174185
01-01-2024 4.15,231.53639127537184,8.271833133846252,1.9444337602533897,0.3583050952564425,0.9364752602099954,12.207359399083206,28.191727099482716,-2.991547521225813e-05,-3.3871777800026672,0,0,18.741990176777275,28.25838139485956,0.497080005347578
01-01-2024 4.30,225.47428208532887,31.71616112402473,7.041050437911161,2.6162510544373205,0.9963729978181723,28.14918490993044,29.295920599977066,-0.0007354690711083865,-2.9542446205865454,0,0,37.12423277696967,35.30188654410597,0.28250801067451264
01-01-2024 4.45,222.9774059616494,39.04266977044838,8.623287121864827,3.0401450319736796,0.8961712157749161,0.4066393794101974,23.547343316682362,-0.004480547550061871,2.3660597515278465,0,0,12.70329489545182,60.072308013985555,0.27265126113359145
01-01-2024 5.00,237.32389515554138,30.33078248966985,7.211781670721523,2.723783267151949,0.868693428254345,1.8357279253709717,2.8325624508685587,2.6260654724234547,0.5378192284624296,0,0,34.57194762428628,62.31066681764094,0.40614989515221306
